seed_name,province,aliases,note
Tràng An,Ninh Bình,"Quần thể danh thắng Tràng An|Trang An","di sản thế giới"
Tam Cốc,Ninh Bình,"Tam Cốc Bích Động|Tam Coc","danh thắng nổi tiếng"
Chùa Bái Đính,Ninh Bình,"Bái Đính|Bai Dinh","quần thể chùa nổi tiếng"
Hang Múa,Ninh Bình,"Mua Cave|Hang Mua","điểm check-in nổi tiếng"
Cố đô Hoa Lư,Ninh Bình,"Hoa Lư|Hoa Lu Ancient Capital","di tích lịch sử"
Nhà thờ đá Phát Diệm,Ninh Bình,"Phát Diệm|Phat Diem Cathedral","kiến trúc nổi tiếng"
Sầm Sơn,Thanh Hóa,"Biển Sầm Sơn|Sam Son Beach","bãi biển nổi tiếng"
Cửa Lò,Nghệ An,"Biển Cửa Lò|Cua Lo Beach","bãi biển nổi tiếng"
Quê Bác,Nghệ An,"Khu di tích Kim Liên|Làng Sen","địa điểm lịch sử"
Phong Nha - Kẻ Bàng,Quảng Bình,"Phong Nha Kẻ Bàng|Phong Nha Ke Bang","di sản thiên nhiên thế giới"
Động Phong Nha,Quảng Bình,"Phong Nha Cave","hang động nổi tiếng"
Động Thiên Đường,Quảng Bình,"Paradise Cave|Thien Duong Cave","hang động nổi tiếng"
Hang Sơn Đoòng,Quảng Bình,"Son Doong Cave|Sơn Đoòng","hang động nổi tiếng thế giới"
Cố đô Huế,Thừa Thiên Huế,"Huế|Hue Imperial City","di sản văn hóa thế giới"
Đại Nội Huế,Thừa Thiên Huế,"Hoàng thành Huế|Imperial City Hue","di tích nổi tiếng"
Lăng Khải Định,Thừa Thiên Huế,"Khai Dinh Tomb","lăng vua nổi tiếng"
Lăng Minh Mạng,Thừa Thiên Huế,"Minh Mang Tomb","lăng vua nổi tiếng"
Chùa Thiên Mụ,Thừa Thiên Huế,"Thiên Mụ|Thien Mu Pagoda","biểu tượng Huế"
Đèo Hải Vân,Đà Nẵng,"Hai Van Pass|Hải Vân Quan","cung đèo nổi tiếng"
Bà Nà Hills,Đà Nẵng,"Ba Na Hills|Sun World Ba Na Hills","khu du lịch nổi tiếng"
Cầu Rồng Đà Nẵng,Đà Nẵng,"Cầu Rồng|Dragon Bridge","biểu tượng Đà Nẵng"
Ngũ Hành Sơn,Đà Nẵng,"Marble Mountains|Núi Ngũ Hành Sơn","danh thắng nổi tiếng"
Bán đảo Sơn Trà,Đà Nẵng,"Sơn Trà|Son Tra Peninsula","điểm du lịch sinh thái"
Bãi biển Mỹ Khê,Đà Nẵng,"Mỹ Khê|My Khe Beach","bãi biển nổi tiếng"
Phố cổ Hội An,Quảng Nam,"Hoi An Ancient Town|Hội An","di sản văn hóa thế giới"
Chùa Cầu Hội An,Quảng Nam,"Chùa Cầu|Japanese Covered Bridge","biểu tượng Hội An"
Rừng dừa Bảy Mẫu,Quảng Nam,"Rừng dừa Cẩm Thanh|Bay Mau Coconut Forest","điểm du lịch sinh thái"
Cù Lao Chàm,Quảng Nam,"Cu Lao Cham|Cham Islands","đảo du lịch nổi tiếng"
Thánh địa Mỹ Sơn,Quảng Nam,"My Son Sanctuary|Mỹ Sơn","di sản văn hóa thế giới"
Đảo Lý Sơn,Quảng Ngãi,"Lý Sơn|Ly Son Island","đảo du lịch nổi tiếng"
Kỳ Co,Bình Định,"Biển Kỳ Co|Ky Co","bãi biển nổi tiếng"
Eo Gió,Bình Định,"Eo Gio|Eo Gió Quy Nhơn","điểm check-in nổi tiếng"
Ghềnh Ráng,Bình Định,"Gành Ráng|Ghềnh Ráng Tiên Sa","danh thắng Quy Nhơn"
Gành Đá Đĩa,Phú Yên,"Ghềnh Đá Đĩa|Ganh Da Dia","danh thắng nổi tiếng"
Mũi Điện,Phú Yên,"Mũi Đại Lãnh|Mui Dien","điểm cực Đông nổi tiếng"
Nha Trang,Khánh Hòa,"Biển Nha Trang|Nha Trang Beach","điểm du lịch biển nổi tiếng"
VinWonders Nha Trang,Khánh Hòa,"Vinpearl Nha Trang|VinWonders","khu vui chơi du lịch"
Hòn Mun,Khánh Hòa,"Đảo Hòn Mun|Hon Mun","đảo/lặn biển nổi tiếng"
Dốc Lết,Khánh Hòa,"Doc Let|Bãi biển Dốc Lết","bãi biển nổi tiếng"
Bình Ba,Khánh Hòa,"Đảo Bình Ba|Binh Ba","đảo du lịch"
Bình Hưng,Khánh Hòa,"Đảo Bình Hưng|Binh Hung","đảo du lịch"
Vịnh Cam Ranh,Khánh Hòa,"Cam Ranh Bay|Vịnh Cam Ranh","vịnh biển nổi tiếng"
Đà Lạt,Lâm Đồng,"Da Lat|Thành phố Đà Lạt","điểm du lịch nổi tiếng"
Hồ Xuân Hương,Lâm Đồng,"Xuan Huong Lake|Hồ Xuân Hương Đà Lạt","biểu tượng Đà Lạt"
Thung lũng Tình Yêu,Lâm Đồng,"Valley of Love|Thung lũng Tình Yêu Đà Lạt","điểm du lịch nổi tiếng"
Langbiang,Lâm Đồng,"Núi Langbiang|Lang Biang","điểm du lịch Đà Lạt"
Đồi chè Cầu Đất,Lâm Đồng,"Cầu Đất Farm|Cau Dat Tea Hill","điểm check-in nổi tiếng"
Tà Đùng,Đắk Nông,"Hồ Tà Đùng|Ta Dung","điểm du lịch thiên nhiên"
Mũi Né,Bình Thuận,"Mui Ne|Biển Mũi Né","điểm du lịch biển nổi tiếng"
Bàu Trắng,Bình Thuận,"Bau Trang|Đồi cát trắng","điểm check-in nổi tiếng"
Đồi cát bay Mũi Né,Bình Thuận,"Đồi cát bay|Đồi cát Mũi Né","danh thắng nổi tiếng"
Tháp Po Sah Inu,Bình Thuận,"Po Sah Inu|Tháp Chăm Poshanư","di tích Chăm"
Vũng Tàu,Bà Rịa - Vũng Tàu,"Vung Tau","điểm du lịch biển nổi tiếng"
Tượng Chúa Kitô Vua,Bà Rịa - Vũng Tàu,"Tượng Chúa Kitô|Christ the King Vung Tau","biểu tượng Vũng Tàu"
Hải đăng Vũng Tàu,Bà Rịa - Vũng Tàu,"Ngọn hải đăng Vũng Tàu|Vung Tau Lighthouse","địa điểm nổi tiếng"
Bạch Dinh,Bà Rịa - Vũng Tàu,"Villa Blanche|Bạch Dinh Vũng Tàu","di tích kiến trúc"
Hồ Tràm,Bà Rịa - Vũng Tàu,"Ho Tram|Biển Hồ Tràm","điểm du lịch biển"
Bình Châu,Bà Rịa - Vũng Tàu,"Suối nước nóng Bình Châu|Minera Bình Châu","du lịch nghỉ dưỡng"
Côn Đảo,Bà Rịa - Vũng Tàu,"Con Dao|Côn Sơn","đảo du lịch nổi tiếng"
Nhà tù Côn Đảo,Bà Rịa - Vũng Tàu,"Di tích nhà tù Côn Đảo|Con Dao Prison","di tích lịch sử"
Nghĩa trang Hàng Dương,Bà Rịa - Vũng Tàu,"Hàng Dương|Hang Duong Cemetery","di tích Côn Đảo"
Dinh Độc Lập,TP Hồ Chí Minh,"Independence Palace|Dinh Thống Nhất","di tích biểu tượng"
Nhà thờ Đức Bà Sài Gòn,TP Hồ Chí Minh,"Notre Dame Cathedral Saigon|Nhà thờ Đức Bà","biểu tượng TP.HCM"
Bưu điện Thành phố,TP Hồ Chí Minh,"Bưu điện Trung tâm Sài Gòn|Saigon Central Post Office","biểu tượng TP.HCM"
Chợ Bến Thành,TP Hồ Chí Minh,"Ben Thanh Market|Chợ Bến Thành Sài Gòn","biểu tượng TP.HCM"
Địa đạo Củ Chi,TP Hồ Chí Minh,"Cu Chi Tunnels|Củ Chi","di tích lịch sử"
Cần Giờ,TP Hồ Chí Minh,"Khu du lịch Cần Giờ|Rừng ngập mặn Cần Giờ","du lịch sinh thái"
Mỹ Tho,Tiền Giang,"My Tho|Du lịch Mỹ Tho","du lịch miền Tây"
Cồn Phụng,Bến Tre,"Con Phung|Cồn Phụng Bến Tre","du lịch sinh thái miền Tây"
Chợ nổi Cái Răng,Cần Thơ,"Cai Rang Floating Market|Chợ nổi Cái Răng Cần Thơ","biểu tượng miền Tây"
Bến Ninh Kiều,Cần Thơ,"Ninh Kieu Wharf|Bến Ninh Kiều Cần Thơ","biểu tượng Cần Thơ"
Nhà cổ Bình Thủy,Cần Thơ,"Binh Thuy Ancient House|Nhà cổ Bình Thủy Cần Thơ","di tích kiến trúc"
Rừng tràm Trà Sư,An Giang,"Tra Su Forest|Trà Sư","điểm du lịch sinh thái nổi tiếng"
Miếu Bà Chúa Xứ Núi Sam,An Giang,"Miếu Bà Chúa Xứ|Bà Chúa Xứ Núi Sam","điểm tâm linh nổi tiếng"
Núi Cấm,An Giang,"Thiên Cấm Sơn|Nui Cam","điểm du lịch núi nổi tiếng"
Chợ Châu Đốc,An Giang,"Chau Doc Market|Chợ mắm Châu Đốc","điểm du lịch/chợ nổi tiếng"
Búng Bình Thiên,An Giang,"Bung Binh Thien|Hồ nước trời","danh thắng An Giang"
Hà Tiên,Kiên Giang,"Ha Tien","điểm du lịch biển biên giới"
Đảo Phú Quốc,Kiên Giang,"Phú Quốc|Phu Quoc Island","đảo du lịch nổi tiếng"
Bãi Sao Phú Quốc,Kiên Giang,"Bãi Sao|Sao Beach","bãi biển nổi tiếng"
Grand World Phú Quốc,Kiên Giang,"Grand World|Grand World Phu Quoc","khu du lịch/vui chơi"
VinWonders Phú Quốc,Kiên Giang,"VinWonders Phu Quoc|Vinpearl Phú Quốc","khu vui chơi du lịch"
Hòn Thơm,Kiên Giang,"Hon Thom|Đảo Hòn Thơm","đảo/cáp treo nổi tiếng"
Mũi Cà Mau,Cà Mau,"Cape Ca Mau|Đất Mũi","điểm cực Nam"
Rừng U Minh,Cà Mau,"U Minh Forest|U Minh Hạ","du lịch sinh thái"
