rag_place_id,name,province,city,area,address,category,category_main,category_sub,short_description,rating,quality_score,recommended_use,requires_realtime_check,current_images_json,source_url,source,destination_group,official_search_query,image_search_query,wikimedia_search_query,source_page_search_query,notes_for_human_check
AG_0021,Chùa Vạn Linh,An Giang,An Giang,Tịnh Biên,"Núi Cấm, Tịnh Biên, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Tịnh Biên.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Vạn Linh Tịnh Biên An Giang ảnh chính thức du lịch,Chùa Vạn Linh Tịnh Biên An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Vạn Linh Tịnh Biên An Giang Wikimedia Commons,Chùa Vạn Linh Tịnh Biên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0022,Chùa Phật Lớn Núi Cấm,An Giang,An Giang,Tịnh Biên,"Núi Cấm, Tịnh Biên, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Tịnh Biên.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Phật Lớn Núi Cấm Tịnh Biên An Giang ảnh chính thức du lịch,Chùa Phật Lớn Núi Cấm Tịnh Biên An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Phật Lớn Núi Cấm Tịnh Biên An Giang Wikimedia Commons,Chùa Phật Lớn Núi Cấm Tịnh Biên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0034,Chùa Tà Pạ,An Giang,An Giang,Tri Tôn,"Tri Tôn, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Tri Tôn.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Tà Pạ Tri Tôn An Giang ảnh chính thức du lịch,Chùa Tà Pạ Tri Tôn An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Tà Pạ Tri Tôn An Giang Wikimedia Commons,Chùa Tà Pạ Tri Tôn An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0038,Chùa Xvayton,An Giang,An Giang,Tri Tôn,"Tri Tôn, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Tri Tôn.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Xvayton Tri Tôn An Giang ảnh chính thức du lịch,Chùa Xvayton Tri Tôn An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Xvayton Tri Tôn An Giang Wikimedia Commons,Chùa Xvayton Tri Tôn An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0043,Chùa Linh Sơn Ba Thê,An Giang,An Giang,Thoại Sơn,"Núi Ba Thê, Thoại Sơn, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Thoại Sơn.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Chùa Linh Sơn Ba Thê Thoại Sơn An Giang ảnh chính thức du lịch,Chùa Linh Sơn Ba Thê Thoại Sơn An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Linh Sơn Ba Thê Thoại Sơn An Giang Wikimedia Commons,Chùa Linh Sơn Ba Thê Thoại Sơn An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0044,Hồ Ông Thoại,An Giang,An Giang,Thoại Sơn,"Thoại Sơn, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Thoại Sơn.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Hồ Ông Thoại Thoại Sơn An Giang ảnh chính thức du lịch,Hồ Ông Thoại Thoại Sơn An Giang Chùa/thiền viện ảnh địa điểm du lịch,Hồ Ông Thoại Thoại Sơn An Giang Wikimedia Commons,Hồ Ông Thoại Thoại Sơn An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0046,Đình Thoại Ngọc Hầu Thoại Sơn,An Giang,An Giang,Thoại Sơn,"Thoại Sơn, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Thoại Sơn.,4.5,9.0,main,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Đình Thoại Ngọc Hầu Thoại Sơn Thoại Sơn An Giang ảnh chính thức du lịch,Đình Thoại Ngọc Hầu Thoại Sơn Thoại Sơn An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Đình Thoại Ngọc Hầu Thoại Sơn Thoại Sơn An Giang Wikimedia Commons,Đình Thoại Ngọc Hầu Thoại Sơn Thoại Sơn An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0050,Thánh đường Masjid Al Ehsan,An Giang,An Giang,An Phú,"An Phú, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại An Phú.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Thánh đường Masjid Al Ehsan An Phú An Giang ảnh chính thức du lịch,Thánh đường Masjid Al Ehsan An Phú An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Thánh đường Masjid Al Ehsan An Phú An Giang Wikimedia Commons,Thánh đường Masjid Al Ehsan An Phú An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0054,Cù lao Ông Hổ,An Giang,An Giang,Long Xuyên,"Long Xuyên, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Long Xuyên.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Cù lao Ông Hổ Long Xuyên An Giang ảnh chính thức du lịch,Cù lao Ông Hổ Long Xuyên An Giang Chùa/thiền viện ảnh địa điểm du lịch,Cù lao Ông Hổ Long Xuyên An Giang Wikimedia Commons,Cù lao Ông Hổ Long Xuyên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0058,Công viên Mỹ Thới,An Giang,An Giang,Long Xuyên,"Long Xuyên, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Long Xuyên.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Công viên Mỹ Thới Long Xuyên An Giang ảnh chính thức du lịch,Công viên Mỹ Thới Long Xuyên An Giang Chùa/thiền viện ảnh địa điểm du lịch,Công viên Mỹ Thới Long Xuyên An Giang Wikimedia Commons,Công viên Mỹ Thới Long Xuyên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0060,Chùa Ông Bắc Long Xuyên,An Giang,An Giang,Long Xuyên,"Long Xuyên, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Long Xuyên.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Chùa Ông Bắc Long Xuyên Long Xuyên An Giang ảnh chính thức du lịch,Chùa Ông Bắc Long Xuyên Long Xuyên An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Ông Bắc Long Xuyên Long Xuyên An Giang Wikimedia Commons,Chùa Ông Bắc Long Xuyên Long Xuyên An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0066,Đình Châu Phú,An Giang,An Giang,Châu Đốc,"Châu Đốc, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Châu Đốc.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Đình Châu Phú Châu Đốc An Giang ảnh chính thức du lịch,Đình Châu Phú Châu Đốc An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Đình Châu Phú Châu Đốc An Giang Wikimedia Commons,Đình Châu Phú Châu Đốc An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0071,Nhà thờ Cù Lao Giêng,An Giang,An Giang,Chợ Mới,"Cù Lao Giêng, Chợ Mới, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Chợ Mới.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Nhà thờ Cù Lao Giêng Chợ Mới An Giang ảnh chính thức du lịch,Nhà thờ Cù Lao Giêng Chợ Mới An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Nhà thờ Cù Lao Giêng Chợ Mới An Giang Wikimedia Commons,Nhà thờ Cù Lao Giêng Chợ Mới An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0073,Chùa Thành Hoa Tự,An Giang,An Giang,Chợ Mới,"Chợ Mới, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Chợ Mới.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Long Xuyên/Óc Eo/cù lao,Chùa Thành Hoa Tự Chợ Mới An Giang ảnh chính thức du lịch,Chùa Thành Hoa Tự Chợ Mới An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Thành Hoa Tự Chợ Mới An Giang Wikimedia Commons,Chùa Thành Hoa Tự Chợ Mới An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0077,Chùa Giồng Thành,An Giang,An Giang,Phú Tân,"Phú Tân, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Phú Tân.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Chùa Giồng Thành Phú Tân An Giang ảnh chính thức du lịch,Chùa Giồng Thành Phú Tân An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Giồng Thành Phú Tân An Giang Wikimedia Commons,Chùa Giồng Thành Phú Tân An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0078,Thánh đường Hồi giáo Jamiul Islamiyah,An Giang,An Giang,Phú Tân,"Phú Tân, An Giang",spiritual,Tâm linh,Đền/miếu/đình/lăng,Điểm đền/miếu/đình/lăng tiêu biểu tại Phú Tân.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - biên giới/sông nước Châu Đốc,Thánh đường Hồi giáo Jamiul Islamiyah Phú Tân An Giang ảnh chính thức du lịch,Thánh đường Hồi giáo Jamiul Islamiyah Phú Tân An Giang Đền/miếu/đình/lăng ảnh địa điểm du lịch,Thánh đường Hồi giáo Jamiul Islamiyah Phú Tân An Giang Wikimedia Commons,Thánh đường Hồi giáo Jamiul Islamiyah Phú Tân An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0085,Chùa Huỳnh Đạo,An Giang,An Giang,Châu Đốc,"Châu Đốc, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Châu Đốc.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Chùa Huỳnh Đạo Châu Đốc An Giang ảnh chính thức du lịch,Chùa Huỳnh Đạo Châu Đốc An Giang Chùa/thiền viện ảnh địa điểm du lịch,Chùa Huỳnh Đạo Châu Đốc An Giang Wikimedia Commons,Chùa Huỳnh Đạo Châu Đốc An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
AG_0086,Tịnh xá Ngọc Châu,An Giang,An Giang,Châu Đốc,"Châu Đốc, An Giang",spiritual,Tâm linh,Chùa/thiền viện,Điểm chùa/thiền viện tiêu biểu tại Châu Đốc.,3.9,7.8,supporting,1,[],https://vietnamtourism.gov.vn/post/34837,Cục Du lịch Quốc gia Việt Nam; Cổng thông tin du lịch An Giang; tổng hợp nguồn công khai,An Giang - Châu Đốc/Núi Sam/Thất Sơn,Tịnh xá Ngọc Châu Châu Đốc An Giang ảnh chính thức du lịch,Tịnh xá Ngọc Châu Châu Đốc An Giang Chùa/thiền viện ảnh địa điểm du lịch,Tịnh xá Ngọc Châu Châu Đốc An Giang Wikimedia Commons,Tịnh xá Ngọc Châu Châu Đốc An Giang site:vietnam.travel OR site:vietnamtourism.gov.vn OR site:*.gov.vn,"Chỉ dùng image_url trực tiếp .jpg/.png/.webp; không dùng trang HTML, ảnh random, placeholder; phải ghi nguồn/credit."
