place_id,name,province,category_main,category_sub,app_category
AG_0053,Chợ nổi Long Xuyên,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0035,Cánh đồng Tà Pạ,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0090,Cánh đồng thốt nốt Tri Tôn,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0058,Công viên Mỹ Thới,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0070,Cù lao Giêng,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,beach
AG_0054,Cù lao Ông Hổ,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0061,Cồn Tiên An Giang,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0089,Hồ Latina,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0057,Hồ Nguyễn Du,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0037,Hồ Soài So,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0023,Hồ Thủy Liêm,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0032,Hồ Tà Pạ,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0036,Hồ Ô Thum,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0044,Hồ Ông Thoại,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0084,Khu du lịch Núi Sập,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0055,Khu lưu niệm Chủ tịch Tôn Đức Thắng,An Giang,Văn hóa,Di tích lịch sử/bảo tàng,culture
AG_0045,Kênh Thoại Hà,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0062,Kênh Vĩnh Tế,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0011,Làng Chăm Châu Giang,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0049,Làng Chăm Nhơn Hội,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0079,Làng Chăm Đa Phước,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0010,Làng bè Châu Đốc,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0014,Làng dệt thổ cẩm Châu Giang,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0064,Làng mắm Châu Đốc,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0076,Làng nghề bánh phồng Phú Mỹ,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0068,Làng nghề lãnh Mỹ A,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0067,Làng nghề lụa Tân Châu,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0075,Làng nghề mộc Chợ Thủ,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0063,Làng nổi Châu Đốc,An Giang,Văn hóa cộng đồng,Chợ nổi/làng nghề/miệt vườn,culture
AG_0071,Nhà thờ Cù Lao Giêng,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0029,Núi Cô Tô,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0039,Núi Dài Năm Giếng,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0027,Núi Két,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0083,Núi Sập,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0088,Rừng tràm Tân Tuyến,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0028,Sân Tiên Núi Két,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0078,Thánh đường Hồi giáo Jamiul Islamiyah,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0013,Thánh đường Jamiul Azhar,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0050,Thánh đường Masjid Al Ehsan,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0012,Thánh đường Mubarak,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0072,Tu viện Phanxicô Cù Lao Giêng,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,religious
AG_0086,Tịnh xá Ngọc Châu,An Giang,Tâm linh,Chùa/thiền viện,religious
AG_0080,Vàm Nao,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0066,Đình Châu Phú,An Giang,Tâm linh,Đền/miếu/đình/lăng,religious
AG_0033,Đồi Tà Pạ,An Giang,Thiên nhiên,Sông nước/rừng tràm/núi đồng bằng,nature
AG_0081,Cầu Vàm Cống,An Giang,Di tích,Điểm tham quan văn hóa,heritage
AG_0051,Cửa khẩu Khánh Bình,An Giang,Di tích,Điểm tham quan văn hóa,heritage
AG_0026,Cửa khẩu Tịnh Biên,An Giang,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
AG_0074,Dinh Chưởng Binh Lễ,An Giang,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0045,Biển Hồ Tràm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0034,Biển Long Hải,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0001,Bãi Sau Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0002,Bãi Trước Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0047,Bãi biển Hồ Cốc,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0080,Bảo tàng Côn Đảo,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0088,Chợ Côn Đảo,Bà Rịa - Vũng Tàu,Văn hóa cộng đồng,Phố/chợ/làng nghề,culture
BRVT_0008,Cáp treo Hồ Mây,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0068,Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0035,Dinh Cô Long Hải,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0085,Hòn Cau Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0046,Hồ Cốc,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0044,Hồ Tràm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0050,Khu bảo tồn thiên nhiên Bình Châu - Phước Bửu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0007,Khu du lịch Hồ Mây,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0049,Minera Hot Springs Bình Châu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0078,Mộ Võ Thị Sáu Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0073,Nhà tù Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BRVT_0057,Novaworld Hồ Tràm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0021,Quảng trường Bãi Sau,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0051,Rừng nguyên sinh Bình Châu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0048,Suối khoáng nóng Bình Châu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0087,Sân bay Côn Đảo viewpoint,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0093,Sở Rẫy Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0055,Tropicana Park Hồ Tràm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0003,Tượng Chúa Kitô Vua,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0072,Vườn quốc gia Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0094,Đỉnh Thánh Giá Côn Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0053,Biển Lộc An,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0052,Biển Suối Ồ,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0091,Bãi An Hải,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0016,Bãi Dâu Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0015,Bãi Dứa Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0090,Bãi Lò Vôi,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0070,Bãi Nhát,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0018,Bãi Thủy Tiên,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0017,Bãi Vọng Nguyệt,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0037,Bãi biển Phước Hải,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0092,Bãi Ông Đụng,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0069,Bãi Đầm Trầu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0025,Bảo tàng Bà Rịa - Vũng Tàu,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0024,Bảo tàng Vũ khí cổ Robert Taylor,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0064,Chùa Hộ Pháp,Bà Rịa - Vũng Tàu,Tâm linh,Chùa/thiền viện,religious
BRVT_0082,Chùa Núi Một,Bà Rịa - Vũng Tàu,Tâm linh,Chùa/thiền viện,religious
BRVT_0060,Chợ Bà Rịa,Bà Rịa - Vũng Tàu,Văn hóa cộng đồng,Phố/chợ/làng nghề,culture
BRVT_0023,Chợ Xóm Lưới,Bà Rịa - Vũng Tàu,Văn hóa cộng đồng,Phố/chợ/làng nghề,culture
BRVT_0022,Chợ đêm Vũng Tàu,Bà Rịa - Vũng Tàu,Văn hóa cộng đồng,Phố/chợ/làng nghề,culture
BRVT_0062,Công viên Bàu Thành,Bà Rịa - Vũng Tàu,Giải trí,Công viên/khu vui chơi/check-in,checkin
BRVT_0079,Dinh Chúa Đảo,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,religious
BRVT_0013,Hòn Bà Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0083,Hòn Bảy Cạnh,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0084,Hòn Tài,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0032,Hồ Bàu Sen Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0067,Hồ Châu Pha,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0066,Hồ Đá Xanh,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0039,Khu căn cứ Minh Đạm,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0042,Khu di tích Võ Thị Sáu,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0031,Khu di tích trận địa pháo cổ Núi Lớn,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0020,Khu du lịch Gió Biển Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0065,Khu du lịch sinh thái Bưng Bạc,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0095,Làng chài Bến Đầm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BRVT_0041,Làng chài Phước Hải,Bà Rịa - Vũng Tàu,Văn hóa cộng đồng,Phố/chợ/làng nghề,culture
BRVT_0081,Miếu Bà Phi Yến,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0014,Miếu Hòn Bà,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0071,Mũi Cá Mập,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0010,Mũi Nghinh Phong,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0059,Nhà thờ Chánh tòa Bà Rịa,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0026,Niết Bàn Tịnh Xá,Bà Rịa - Vũng Tàu,Tâm linh,Chùa/thiền viện,religious
BRVT_0006,Núi Lớn Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0038,Núi Minh Đạm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0005,Núi Nhỏ Vũng Tàu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0040,Thiền viện Trúc Lâm Chân Nguyên,Bà Rịa - Vũng Tàu,Tâm linh,Chùa/thiền viện,religious
BRVT_0027,Thích Ca Phật Đài,Bà Rịa - Vũng Tàu,Văn hóa,Di tích lịch sử/bảo tàng,culture
BRVT_0036,Đèo Nước Ngọt,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng ngập mặn/sinh thái,beach
BRVT_0030,Đình Thắng Tam,Bà Rịa - Vũng Tàu,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BRVT_0063,Đại Tòng Lâm Tự,Bà Rịa - Vũng Tàu,Tâm linh,Chùa/thiền viện,religious
BRVT_0061,Địa đạo Long Phước,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BRVT_0028,Đức Mẹ Bãi Dâu,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BRVT_0058,Bà Rịa City Park,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0009,Bạch Dinh,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0033,Bến du thuyền Marina Vũng Tàu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0076,Chuồng cọp Mỹ,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0075,Chuồng cọp Pháp,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0086,Cảng Bến Đầm,Bà Rịa - Vũng Tàu,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BRVT_0054,Cảng cá Lộc An,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0089,Cầu tàu 914,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0011,Cổng Trời Vũng Tàu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0004,Hải đăng Vũng Tàu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0029,Linh Sơn Cổ Tự Vũng Tàu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0019,Marina Vũng Tàu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0077,Nghĩa trang Hàng Dương,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0043,Nhà lưu niệm Võ Thị Sáu,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0056,The Bluffs Grand Ho Tram Strip,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0074,Trại Phú Hải,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BRVT_0012,Đồi Con Heo,Bà Rịa - Vũng Tàu,Di tích,Điểm tham quan văn hóa,heritage
BDU_0003,Biển nhân tạo Đại Nam,Bình Dương,Thiên nhiên,Biển đảo/rừng núi/sinh thái,beach
BDU_0025,Chùa Bà Lái Thiêu,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0029,Chùa Châu Thới,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0006,Chùa Hội Khánh,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0045,Chợ Dầu Tiếng,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0024,Chợ Lái Thiêu,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0026,Cầu Ngang Lái Thiêu,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0016,Di tích Nhà tù Phú Lợi,Bình Dương,Văn hóa,Di tích lịch sử/bảo tàng,culture
BDU_0036,Hồ Dầu Tiếng phía Bình Dương,Bình Dương,Thiên nhiên,Hồ/rừng/thác/sinh thái,mountain
BDU_0037,Khu du lịch hồ Dầu Tiếng,Bình Dương,Thiên nhiên,Hồ/rừng/thác/sinh thái,mountain
BDU_0001,Khu du lịch Đại Nam,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0044,Làng cao su Dầu Tiếng,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0021,Làng nghề gốm Lái Thiêu,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0030,Núi Châu Thới,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0005,Trường đua Đại Nam,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0007,Tượng Phật nhập Niết bàn chùa Hội Khánh,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0023,Vườn măng cụt Lái Thiêu,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0004,Vườn thú Đại Nam,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0022,Vườn trái cây Lái Thiêu,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0002,Đại Nam Văn Hiến,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0027,AEON Mall Bình Dương Canary,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0013,Bảo tàng Bình Dương,Bình Dương,Văn hóa,Di tích lịch sử/bảo tàng,culture
BDU_0008,Chùa Bà Thiên Hậu Bình Dương,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0053,Chùa Hội An Bình Dương,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0039,Chùa Thái Sơn Núi Cậu,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0011,Chùa Tây Tạng Bình Dương,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0012,Chùa Ông Ngựa Bình Dương,Bình Dương,Tâm linh,Chùa/thiền viện,religious
BDU_0067,Chợ Bàu Bàng,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0051,Chợ Bến Cát,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0063,Chợ Phú Giáo,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0019,Chợ Thủ Dầu Một,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0056,Chợ Tân Uyên,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0069,Công viên Thành phố mới Bình Dương,Bình Dương,Văn hóa cộng đồng,Làng nghề/chợ/vườn trái cây,culture
BDU_0017,Công viên Thủ Dầu Một,Bình Dương,Giải trí,Công viên/khu vui chơi/check-in,checkin
BDU_0041,Di tích Sở chỉ huy tiền phương chiến dịch Hồ Chí Minh,Bình Dương,Tâm linh,Công trình tôn giáo/tưởng niệm,religious
BDU_0031,Hồ Bình An,Bình Dương,Thiên nhiên,Hồ/rừng/thác/sinh thái,mountain
BDU_0046,Hồ Cần Nôm,Bình Dương,Thiên nhiên,Hồ/rừng/thác/sinh thái,mountain
